"","AUS_sb01","AUT_sb01","BEL_sb01","BGR_sb01","BRA_sb01","CAN_sb01","CHN_sb01","CYP_sb01","CZE_sb01","DEU_sb01","DNK_sb01","ESP_sb01","EST_sb01","FIN_sb01","FRA_sb01","GBR_sb01","GRC_sb01","HUN_sb01","IDN_sb01","IND_sb01","IRL_sb01","ITA_sb01","JPN_sb01","KOR_sb01","LTU_sb01","LUX_sb01","LVA_sb01","MEX_sb01","NLD_sb01","POL_sb01","PRT_sb01","ROM_sb01","RUS_sb01","SVK_sb01","SVN_sb01","SWE_sb01","TUR_sb01","USA_sb01","ZRoW_sb01"
"11",1.79044463364928e-06,3.04105355148018e-06,5.74548768441589e-06,4.0989448868956e-06,1.0804619492196e-06,1.86106275090531e-06,3.00740626259893e-06,2.28448521826929e-06,5.40213856516289e-06,5.78890918457979e-06,0.00202621108009643,2.55822760770326e-06,1.12445102738577e-05,1.21318463515116e-05,2.22365035774539e-06,3.83094823074355e-06,3.21280699912611e-06,6.37186724306075e-06,2.39597888336926e-06,1.38612529515924e-06,7.49073660800035e-06,2.16440055199907e-06,1.0577058601785e-06,3.02957230666682e-06,1.06197065458476e-05,6.17932996539128e-06,1.24785210426869e-05,9.38466312045317e-07,5.60369818265876e-06,6.37107456822661e-06,2.97227125943464e-06,2.45221800619511e-06,1.26576624456046e-06,4.73378307302007e-06,3.68534920275685e-06,4.42160025918162e-05,2.53290166713362e-06,1.13363669881533e-06,9.59971374414864e-06
"12",2.97924772212204e-06,1.57524924390459e-05,4.33309952905538e-05,2.54413066841484e-05,5.17192230254302e-06,5.23171856757851e-06,6.21031163145659e-06,2.55300659317673e-05,2.64679513457082e-05,1.79332400908097e-05,2.36030205890585e-05,0.00324105773939732,3.83083395583619e-05,1.35110100662634e-05,2.99446929943043e-05,1.63653420063775e-05,2.04866737391537e-05,2.4460983646859e-05,3.12099510693356e-06,3.53118656936212e-06,4.13119442029117e-05,2.33905446423331e-05,1.98514210352173e-06,5.81380872711109e-06,1.04770660792629e-05,4.46503025412071e-05,9.98936083636294e-06,8.64961924242313e-06,2.20106525217151e-05,1.88175836649752e-05,0.000172218394932595,1.60054752394989e-05,6.1578393783769e-06,1.94269281870356e-05,2.84308642909489e-05,1.99701002434166e-05,1.37185470792499e-05,2.95916026706013e-06,1.98225571730779e-05
"13",2.26320334136991e-07,1.13784449469171e-06,1.72029128291286e-06,1.02664411098708e-06,2.01788440639766e-07,2.31595035827245e-07,3.71426531227523e-07,4.0603413431783e-06,1.80910235026972e-06,1.53659847116214e-06,6.42574256036326e-06,1.48877486834791e-06,0.00623088133184046,3.17596563563383e-05,4.77862902903764e-07,6.61253618302251e-07,7.81981463562558e-07,1.22392272116935e-06,1.94470725967356e-07,2.3184157675596e-07,8.58480843988889e-07,5.6955088902988e-07,2.04101263832859e-07,3.75170773859018e-07,4.26932629924922e-05,5.95795184051582e-06,9.41385869537978e-05,2.85093419167464e-07,1.34863354570067e-06,2.76677079223593e-06,9.52171669930899e-07,5.97833184974675e-07,2.31793885703053e-06,2.23462623086056e-06,1.06472258124719e-06,1.0875692446769e-05,3.80892891442966e-07,1.92898180776136e-07,1.1346844809636e-06
"14",1.09856424405102e-06,3.20888337455924e-06,5.1963931778238e-06,3.44083692298396e-06,2.24507165000643e-06,9.70306273450275e-07,2.20756206605202e-06,1.87477302152251e-06,3.5800264193461e-06,4.20875025281041e-06,9.81601428367231e-06,2.44517739048969e-06,4.93708671215146e-05,0.0015893100354669,1.91670864624821e-06,2.88904392305078e-06,2.76153251875355e-06,6.76916378019841e-06,9.29621919455425e-07,2.27711051509531e-06,3.42735419851582e-06,1.55794574606988e-06,8.91265603599091e-07,1.84716603515894e-06,1.00299271922312e-05,8.10247516782588e-06,1.48110755745807e-05,6.82357661194508e-07,5.82741348998059e-06,6.50284904891993e-06,3.3744200590059e-06,1.66107669571791e-06,3.19292184597692e-06,3.09606586493526e-06,3.10640819611432e-06,2.23408004860397e-05,1.92701407431566e-06,6.50694951110179e-07,3.89765526165656e-06
"15",4.9096566125915e-06,1.5185708863108e-05,5.63914187929363e-05,1.89863352483834e-05,5.6830833251703e-06,6.51765486029046e-06,9.88378813897556e-06,1.36347657497108e-05,2.54836596569211e-05,2.39668739407021e-05,1.44849650479329e-05,2.98174093953579e-05,1.19257029525891e-05,1.21502685126589e-05,0.00162694362961045,1.55279609090981e-05,1.41539296298731e-05,3.04652042182526e-05,4.64792572939469e-06,4.1544014711008e-06,2.66260142973086e-05,2.05480393236719e-05,2.74585281861059e-06,9.54105621585175e-06,9.96071721029446e-06,7.28915408652426e-05,1.15231222168991e-05,4.43483425621017e-06,2.20322794607227e-05,1.85838481901752e-05,2.22674401345971e-05,1.94990805205067e-05,4.87783151188746e-06,2.70465592334346e-05,2.54560250116954e-05,1.87133009300431e-05,1.26237816865213e-05,3.87013909666215e-06,1.78494013511251e-05
"16",2.26848051797891e-05,3.38253239487493e-05,9.17018582647019e-05,4.56534387610034e-05,1.10931280236406e-05,2.41158786297231e-05,2.20824970163328e-05,5.81602334375316e-05,4.66486765228797e-05,5.6429106320923e-05,6.63291282270979e-05,3.04116825969871e-05,3.7683411943948e-05,4.85715188801758e-05,3.47746603243854e-05,0.00342383992040201,2.93371933342266e-05,4.89696615209699e-05,1.12133825110517e-05,1.75986991266092e-05,0.000341306511952373,2.68002948357196e-05,7.88215028446208e-06,2.35403234514002e-05,2.53839396972021e-05,0.00061954715239557,2.86393931568077e-05,9.24534683473037e-06,0.000113560780014266,3.56530519960726e-05,3.78185916431901e-05,2.82340433148147e-05,1.35664919292821e-05,3.7509785152684e-05,3.20039887879954e-05,6.41874191306021e-05,1.91296704655582e-05,1.34227248693759e-05,5.02104862905178e-05
"17",1.89772738275559e-06,4.20434495916406e-06,6.82893911192859e-06,0.00010103751121341,1.52575402341642e-06,1.1027462442314e-06,2.88122850992538e-06,0.00014318754223602,3.77327225075332e-06,5.15637026160711e-06,8.33134957749269e-06,2.67911891778263e-06,4.31714800527617e-06,6.08269211226052e-06,2.17788881476963e-06,4.32611042590297e-06,0.00784102993800801,3.92612044190219e-06,3.21484838229139e-06,1.95244150605509e-06,5.20938800313302e-06,6.32145515051665e-06,1.67488304026167e-06,1.06194439752818e-05,2.91167901880993e-06,9.47499708364618e-06,3.32487287048277e-06,1.90725913873767e-06,3.83051194206108e-06,3.2611318191875e-06,3.70466059808028e-06,2.28614927199511e-05,1.95410672294045e-06,5.23873241313716e-06,1.96782523126286e-05,1.50459102757229e-05,1.25103252927989e-05,1.60339751477312e-06,1.97790200329087e-05
"18",2.31505548978561e-06,5.89737879651307e-05,2.19804351700033e-05,4.85474467137033e-05,1.90297772504434e-06,2.14746964039554e-06,4.75320836708507e-06,9.33151625696382e-06,7.81338794808619e-05,3.16599721624858e-05,1.32024748615165e-05,1.37768449736123e-05,1.54163670349386e-05,1.7696043137262e-05,8.57997424658688e-06,8.393591384265e-06,8.54804852949819e-06,0.00763111853667977,2.43040245652077e-06,1.82600125709235e-06,2.85141303608038e-05,1.33419771364467e-05,1.41532174777902e-06,9.35691914962796e-06,1.11506213496864e-05,1.25436262788046e-05,1.62186205042362e-05,2.4490076342186e-06,9.3420283487975e-06,3.10667592609466e-05,8.27113018489438e-06,9.64018892144875e-05,5.28232492997609e-06,0.00012362473409324,6.16471620608591e-05,1.49095540355635e-05,9.35441121527519e-06,1.94401332986699e-06,1.2548175192723e-05
"19",0.000129898976304235,2.62962787711031e-05,4.57769187943268e-05,3.37812001166501e-05,2.20363411151191e-05,1.93825065624001e-05,0.000129434517053687,3.22235394002873e-05,3.71336471255378e-05,4.72300496001524e-05,6.22948372715213e-05,3.46039641321872e-05,3.69585844570306e-05,3.6894089748073e-05,2.30465823341853e-05,2.97366623016575e-05,3.28619703323768e-05,2.91419122698553e-05,0.0356637889016138,0.000111140645083527,3.61555890322109e-05,3.39991531352892e-05,0.000151919351158547,0.000268249968980844,1.89830090418321e-05,3.91823896354337e-05,1.69149558920201e-05,1.92040749978332e-05,6.16975806028092e-05,2.65177091195825e-05,2.54682043330198e-05,1.72825465948291e-05,1.26141219787701e-05,3.93843675931568e-05,4.95120796413705e-05,2.29460421299491e-05,5.00711115430957e-05,1.8378924432437e-05,0.000146475770992922
"20",0.000189116657823987,0.000169633761468243,0.000421260597456426,0.000189845399963162,0.000120312655758255,0.000371962858286478,0.000325374862652442,0.000197527881741156,0.000203826334963351,0.000238087232461877,0.00028681337285597,0.000134571845852745,0.000157084134671576,0.000548900158725942,0.000111613973142767,0.000313013019954893,0.000150487979942843,0.000304101552224369,0.000329217512251,0.102125701811299,0.000247717926142494,0.00018981426746656,0.000124474855302786,0.000318551988673098,7.93174848911508e-05,0.000172305342862672,0.000106825628405926,0.000107515949780035,0.000381266070424229,0.000142264401692075,0.000218705493697872,0.000228729472592133,5.59770342283639e-05,0.000139303036733843,0.000196394478015698,0.000209959127235446,0.000207288941303079,0.000172061777956252,0.000689029326680784
"21",2.7742457998466e-07,5.12507014546978e-07,2.67986059393412e-06,5.75716758061358e-07,1.05460709147917e-07,4.7208691890847e-07,5.37764105670639e-07,3.52950713032919e-07,9.42256519288298e-07,6.61492796557344e-07,7.57782600063415e-07,9.59291809383839e-07,1.03176044369066e-06,1.40001522135386e-06,6.91460039395977e-07,1.82673360575994e-06,4.6227828507147e-07,1.03719342050423e-06,2.06795891222252e-07,2.05025532886233e-07,0.000315101984626766,1.3062177600422e-06,1.88788618908289e-07,4.20753348656424e-07,3.57228422954536e-07,3.62253096398221e-06,7.67369227672212e-07,2.84829558556894e-07,6.83782274139249e-07,5.66840334778062e-07,1.10748044573518e-06,7.08006498861965e-07,3.37372052908739e-07,5.65212906443403e-07,5.47524037533864e-07,1.14160037715726e-06,3.13754239872574e-07,5.68572114410265e-07,1.21491733255803e-06
"22",7.91395798627876e-06,4.96189128566109e-05,3.66075145445843e-05,7.33281470422803e-05,1.14341144741888e-05,9.020546570334e-06,1.59511495013944e-05,6.95981837697327e-05,4.81854776766848e-05,3.382027573923e-05,3.07475395206589e-05,4.07672228802562e-05,2.98198815787783e-05,2.05347674847788e-05,3.3561429599418e-05,1.93230176339903e-05,6.06344871909376e-05,5.45059057047593e-05,1.2614106065784e-05,8.83786889813663e-06,3.39785495720229e-05,0.00316087824571961,4.07596195122715e-06,1.25837755595657e-05,2.43689496806208e-05,0.00011382335325016,2.37261368699938e-05,1.08284193097937e-05,2.26620595638591e-05,4.49536042953299e-05,3.17308205003074e-05,7.29883676356765e-05,1.11414501979912e-05,4.8187922148691e-05,0.000149977322578604,2.36296747072074e-05,2.80793947329318e-05,5.87753229304036e-06,3.34183510469284e-05
"23",2.50077090180906e-05,1.59857432119236e-05,3.00109173446374e-05,2.06323615940273e-05,1.30131631708933e-05,2.35229343358306e-05,0.000116691002562437,1.74720510541632e-05,3.87071588617747e-05,2.00177938954176e-05,2.2613717896975e-05,1.2113052311597e-05,3.22698487318225e-05,1.82803910669159e-05,1.24019520327754e-05,1.51671194243829e-05,1.03907381616061e-05,3.85295183395408e-05,6.53636139150721e-05,1.74938960730268e-05,2.73445614778383e-05,1.2914553495694e-05,0.00377128459361918,0.000128781854165723,1.06178863273482e-05,3.33247296108475e-05,8.28817637015383e-06,3.07128705612519e-05,2.59784645806394e-05,1.76952123803485e-05,1.16548532260328e-05,9.81413077348974e-06,2.79396451890264e-05,2.61601210692767e-05,1.66487392169114e-05,1.51827841022258e-05,1.46650718027063e-05,1.61125778421517e-05,8.17394034089265e-05
"24",2.92964192599012e-05,1.91187561527811e-05,3.41973699676651e-05,2.92884454291209e-05,1.67411879159417e-05,2.19262027066e-05,0.000169648733194864,2.38550053596349e-05,3.82280996699847e-05,2.84548656533813e-05,2.36791681549753e-05,1.63745089465826e-05,2.52720532541134e-05,3.72959019512081e-05,1.78810114345629e-05,1.7723447999013e-05,1.71169586288252e-05,6.91885414322213e-05,7.56080940990496e-05,3.33035039980664e-05,2.29116451344768e-05,2.33325205575081e-05,3.77438222979717e-05,0.00841685942377756,1.61799875663723e-05,2.72289593630573e-05,1.32819294459118e-05,4.76182422385109e-05,2.58580495882511e-05,3.8516247805697e-05,1.7907886208483e-05,2.39299259184844e-05,3.52524191246806e-05,0.000133774870449644,3.3594315411369e-05,3.11743691174433e-05,3.2826507645978e-05,1.77676859624427e-05,0.000108966166903703
"25",6.77106208005081e-07,4.08314518261322e-06,5.09911201988771e-06,3.88589707121741e-06,4.6135585437919e-07,9.47690340289268e-07,1.13936508918556e-06,1.36818724234108e-06,3.6338928949541e-06,3.57040605517712e-06,1.91569314137166e-05,2.19797176526544e-06,0.000110179728501839,7.33508006666121e-06,2.72144942662747e-06,1.29449198579439e-06,1.13240112789675e-06,2.97497604532482e-06,6.09811718450315e-07,1.75761814388379e-06,2.87567846879287e-06,1.77808535698257e-06,3.71507463157324e-07,9.25751842892485e-07,0.00875972579910179,2.78909617849933e-06,0.000276130527839802,4.62384718870169e-07,2.29142582570312e-06,1.43102273057521e-05,1.20781096071491e-06,1.46769723168022e-06,4.86055536797945e-06,3.40449895335716e-06,4.05597209597432e-06,1.03755355204333e-05,1.34694898163484e-06,4.52691080781938e-07,5.50712456412393e-06
"26",2.3225429706123e-08,1.05955077884009e-07,3.8645153950774e-07,1.01378307066573e-07,1.85485482938131e-08,2.09336534239737e-08,8.01702285405155e-08,7.45325428207069e-08,1.07977214948103e-07,1.28577248617414e-07,7.44558240063966e-08,1.11568213766409e-07,1.25503474499783e-07,2.01535822873301e-07,1.16146107317107e-07,7.32262461154055e-08,9.11256258608356e-08,9.44449781772214e-08,3.27448457621316e-08,3.23030967295277e-08,1.63809610905189e-07,1.21109411386313e-07,2.12593498756377e-08,5.31327503387789e-08,4.63553489041014e-08,8.27827102708066e-05,7.57386669900574e-08,1.54493773053556e-08,3.02931954612879e-07,8.55922357858273e-08,7.79812273847895e-08,4.84580967327021e-08,1.73570422511034e-08,8.22827813358528e-08,9.46534524415814e-08,1.44721495317714e-07,4.83083648650144e-08,1.65811462818398e-08,3.3709091779276e-07
