"","AUS","AUT","BEL","BGR","BRA","CAN","CHN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HUN","IDN","IND","IRL","ITA","JPN","KOR","LTU","LUX","LVA","MEX","MLT","NLD","POL","PRT","ROM","RUS","SVK","SVN","SWE","TUR","TWN","USA","ZRoW"
"GBR_sa06",1.767173803,0.738174929,2.4929857554,0.165266422,0.564662326,2.05525891,3.796983955,0.490865131,0.795042531,8.851943204,1.673619923,6.382292987066,0.071115537495,0.584116256,9.411350288,3488.039067007,1.429534735,0.415751684,0.188895512,5.13824015,13.369830013,4.9729580144,2.23991716469,0.589136467,0.093853216,0.0771181437,0.076044627861,0.302029074,0.989724772417,5.70434229573,1.306198465,0.634656865,0.40156897622,1.7360913866,0.28563199413,0.13018976986,2.124907935,0.789882343,0.80643945,14.617098255,42.034666982
"GBR_sa07",297.883733792,16.191306526,51.851340162,3.973697972,11.673310973,67.444012022,14.284046152,5.667319772,11.414584813,356.650509549,48.874431855,79.6934266688,2.821583103,11.147798055,226.058153428,21970.91964103,33.412061503,5.047620399,1.293815151,11.29259461,335.451154792,96.777099747,19.470427743533,149.637970454,1.492247746,7.627920507,1.92282414543,7.573436981,8.65062919889,108.45158125457,23.230592468,28.028662938,3.837681929,27.4660478833,5.5774266543,4.872062085,62.146533558,26.840190355,45.366708206,1326.547264429,366.400993801
"GBR_sa08",5.095419373,6.136249602,449.552346824,1.153804179,61.108872029,136.440309243,10.588033068,1.745941212,4.58434089,1114.168976932,370.572532974,818.035367075,1.9409348001,34.805488327,1018.745828431,3856.749059495,4.368161,0.723618556,0.172075094,9.456545063,1861.06426618,90.902856875,42.7741023361379,4.151066493,56.116817208,0.3434037865,0.4214700164268,79.149677042,29.8326450201,1181.52633888718,39.866162468,41.261809099,20.979817356,3.9005866482,0.679853327588,1.7353531908,343.29681834,9.729649478,5.052285738,1994.249472642,1489.981248288
"GBR_sa09",784.873039752,175.837333825,425.458345114,28.190235827,170.717234666,327.167013164,674.12820036,39.331718613,162.616509573,3191.17504645,217.385255852,2028.472857771,10.06276162182,212.50878167,3188.81114832,4425.1462576,262.18289466,102.751606683,25.751924776,47.496987736,893.612108381,1441.184231001,876.812564613,250.260822002,13.697446525,20.966665555,6.672852428077,290.101651712,29.436415528,970.92354788301,806.992197963,318.896711023,57.05787246,374.668630923,63.87661630161,26.8333312909,381.896852255,429.579068411,168.83421705,7747.33079265,3315.251918618
"GBR_sa10",36.148531194,15.003349378,40.501404503,2.51160804,12.962743737,31.28415215,78.950153386,6.329246589,10.078988257,216.139069118,29.887023205,70.498277759,1.262187178138,13.653675323,160.182749281,6239.466754094,13.994008025,5.257421337,3.268254905,23.228576944,203.235321856,76.933477302,36.35032669309,14.632630523,1.673848944,15.246915066,0.714603757447,24.615931018,5.9815606196,94.74483037889,23.129914554,12.391471102,5.542945276,15.7062872977,8.3583055121,1.4993826346,43.486297767,22.340601984,9.234886544,204.86107418,456.243434194
"GBR_sa11",12.893034806,2.548715153,7.27306611,0.646160298,1.931469988,32.121500853,13.48843432,1.420795349,2.040134375,44.901554997,3.782523994,17.997313351064,0.531871797168,3.462236511,27.011784604,4568.10155243,4.063957461,1.201114178,0.881109989,4.491703207,67.834989065,23.6711527055,33.830629178903,15.255643922,0.551650517,0.3947469613,0.552694419889,2.103362351,1.97279855535,11.98415612058,5.305288898,2.550844862,1.1024311001,6.401959898,0.70989605715,0.37462192726,5.921256293,3.867212557,2.995572629,99.65714562,96.854425821
"GBR_sa12",56.098473777,14.688680903,107.943254226,6.0805572,15.462304625,50.8201729,88.930595087,5.537499385,23.896471979,256.361884501,33.41273524,99.81705772099,1.885343534061,32.622159677,187.703247465,12456.262657232,22.475751451,9.298689419,4.221429394,39.180982589,184.2179445,96.74610359,36.7106458211,27.700143134,5.203389405,1.533074201,1.53997788617,21.212418815,7.9939437328,148.98495456692,44.043668624,14.867946097,14.168825968,52.899233586,4.7537037446,3.0742798312,40.869893491,27.70852782,21.487981596,296.96186504,552.486024487
"GBR_sa13",461.45079098,111.449412319,623.576289522,91.742899113,195.688903932,460.65128038,1057.099677555,30.561610984,231.043242301,1893.586031017,284.291386835,793.04605304606,22.98744120645,196.394331961,1432.377423001,11425.021723135,178.2568567,110.160923846,63.009053538,316.442708877,744.195639201,921.414810986,247.287196475129,352.5613116,32.123399734,9.995894039,21.68100466093,224.888099557,10.69317769323,609.44986744525,467.510473969,107.562616072,139.831245903,478.6929335605,57.8233789414,34.39586696147,391.859813837,310.427972216,325.565881607,3151.9978297,4656.999175442
"GBR_sa14",385.433017184,219.19721664,620.7873209,43.068615284,205.282131942,429.9207168,1773.190942568,22.866617544,139.636764681,2942.150459874,490.3330076,954.93653204,15.595170677345,130.105206791,1480.6120054,5835.230731664,168.448934222,134.359854153,49.84410247,134.591488014,593.018836927,1345.41333166,588.23043541923,161.64312533,28.077880666,12.294341589,14.869945661068,84.359738666,27.0807892485,502.75534075427,334.196938556,136.257763022,141.436228177,303.6182003215,107.1801720895,39.6780775383,678.46320731,297.221697825,104.43212031,3929.9828443,5432.967627395
"GBR_sa15",555.41530876,259.272723955,1262.641257201,132.192167594,93.801295958,1192.3278872,1561.475896548,219.241332209,158.046499555,6231.432265443,228.93690147,1856.031174151,60.68297042399,428.330172385,2664.49489365,20841.404881533,307.816107359,61.299414943,92.994302477,290.275695877,933.113035382,1536.500074159,590.15878468181,99.60903838,30.728923607,46.441042947,9.003316507418,210.060531623,61.450204174,656.98037231928,749.355397892,270.075124574,99.054625054,3581.8829256879,19.7010304109,47.0613257602,756.882913381,628.256714111,61.167098008,3915.983454,9558.0109052
"GBR_sa16",132.139241735,33.578351428,110.732742706,10.62195725,16.733914218,173.12759594,87.545076066,10.834652743,77.258696942,359.921635513,133.281986032,661.0416219528,2.37137556761,22.280613843,766.745147616,12844.448333603,105.50611729,16.44827447,19.726729535,840.10936368,814.626262877,317.260564292,180.9490513843,30.00373333,3.583265852,4.309047332,3.293001237915,8.058956909,14.9048959227,479.69143680871,80.734650828,34.444943103,15.335335423,33.7459618334,15.8073232301,9.3912421362,132.463636308,34.009428433,27.369303186,1349.8763024,1228.431350592
"GBR_sa17",0.899021082,1.829296447,15.937641857912,0.352588212,3.6570934715,6.935938541,8.288556948,0.075145801,1.099663493,19.222109845,2.276851766,3.05715269311,0.08538316036,1.644837791,4.503414012,77127.622539672,1.174623458,1.353586628,0.187217624,1.233135322,21.60110769,3.890115242,1.320990815145,0.570576271,0.037751807,0.1569779126,0.07657777066,0.055951487,0.24616885462,9.3925323088,3.357674558,2.62993770084,0.850281396,1.121214327,1.2281709361,0.3112659248,5.510799503,0.124145205,7.486395073,13.97343366,51.247325037
"GBR_sa18",0.534302757,26.25399432922,22.671859883,55.060850207,2.824981053,13.813729103,5.909254527,1.177485478,15.353923357,98.538075076,8.588326873,1.167907917,1.599925262435,0.493103347,1.543822349,226723.494696012,33.546407925,10.5065765182,0.027206068,1.05071551,8.075792128,5.992820442,0.635619312146,0.034586051,0.066445055,0.0092069116,1.5919213286,0.023233719,0.218969461438,62.42788132281,164.152591736,0.24806069799,32.055801544,169.670263613,4.600797223,13.4696965838,1.690983421,0.0127971594,6.620697679,2.862857214,41.148632094
"GBR_sa19",0.593097769,0.433175134,1.028579511,0.02965732368,1.838694233,1.263163612,4.126166952,0.01625666572,0.214327575,2.380360548,0.768095879,1.4960887,0.0335801765,0.290675134,0.762431448,52778.898449097,0.3061539268,0.1702917342,0.009756902,0.529504308,3.5114960748,0.42724803,0.3897815335908,0.9525855994,0.0047667678,0.0045201176364,0.02893579952,0.831461515,0.111197267706,2.015297907,0.790512335,0.19888796,0.249371553,1.22186752,0.429965427,0.03433724273,2.715824263,0.002992868,3.382222032,0.91941693,28.423517253
"GBR_sa20",0.894771761,1.552954126,5.668460848,0.1147792678,3.8217543963,3.751013276,10.137369395,0.05026914936,0.763563536,9.893197007,2.680181211,3.013150335,0.05575541247,1.594015707,5.346670964,93953.201557882,0.9012532191,0.8171584687,0.178004887,1.423064612,53.589277381,5.442092342,3.638325179789,1.235861168,0.039821376,0.040541538,0.0463015774,0.066664667,0.294974199433,9.059468011,2.631245974,1.100573425,0.699660051,1.077875103,1.249067953,0.147210102,4.472460236,0.032842615,8.897213252,7.745447203,286.546088576
